experiment_id,evidence_class,date,objective,dataset,species_and_approach,dataset_version,subjects_total,train_subjects,test_subjects,train_frames,test_frames,split_strategy,model,initialization,preprocessing,augmentation,random_seed,epochs,batch_size,optimizer,learning_rate,hardware,runtime,status,primary_metric,metric_value,secondary_metrics,confidence_interval,artifact,log,notes
exp005_fold1_trainHUS_testHUS,PRIMARY -- real human transcutaneous lumbar ultrasound,2026-09-11,"Expert bone-surface segmentation in real human lumbar ultrasound; train on HUS, evaluate on held-out HUS subjects","KU Leuven / Balgrist lumbar spine ultrasound (doi:10.48804/3XPCAE, CC-BY-4.0)","HUMAN, in-vivo, transcutaneous lumbar; healthy volunteers aged 20-35 BMI 19-26, PRONE, 10 MHz LINEAR probe","US/US_labels, 18 archives, MD5-verified",9,URS08|URS16|URS31|URS40|URS45|URS54,URS26|URS36|URS51,1708,653,"3-fold grouped CV, SUBJECT-DISJOINT; stats aggregated per subject first",U-Net base=16 (320x160),random (from scratch),"cropped to live ultrasound sector 810x430, resized; masks max-pooled so a 1-2 px contour survives",LR flip p=0.5; gain/brightness jitter p=0.5; noise p=0.3,1337,12,32,AdamW + cosine annealing; Dice + pos-weighted BCE,0.0003,NVIDIA GeForce RTX 2060,15.1 s/epoch,COMPLETE,"subject-mean Dice (per-subject means, then averaged)",0.5088,subject-mean tolerance-F1(2px) 0.7068; subject-mean IoU 0.3585; subject range 0.4822-0.5353; frame-mean Dice 0.5109; empty-label false-positive rate 0.9047619047619048,"SD across 2 test subjects 0.0266 (n is too small for a meaningful CI; per-subject values: URS26=0.482, URS36=0.535)",experiments/exp005_lumbar_bone_seg/per_frame_fold1_HUS_HUS.npz,experiments/exp005_lumbar_bone_seg/stdout.log,"Expert-annotated VISIBLE BONE SURFACE, not a puncture target. Dice is harsh on a 1-2 px contour, so tolerance-F1 is reported alongside. Frames the expert left empty are excluded from Dice (undefined) and scored separately."
exp005_fold1_trainHUS_testRUS,PRIMARY -- real human transcutaneous lumbar ultrasound,2026-09-11,"Expert bone-surface segmentation in real human lumbar ultrasound; train on HUS, evaluate on held-out RUS subjects","KU Leuven / Balgrist lumbar spine ultrasound (doi:10.48804/3XPCAE, CC-BY-4.0)","HUMAN, in-vivo, transcutaneous lumbar; healthy volunteers aged 20-35 BMI 19-26, PRONE, 10 MHz LINEAR probe","US/US_labels, 18 archives, MD5-verified",9,URS08|URS16|URS31|URS40|URS45|URS54,URS26|URS36|URS51,1708,1311,"3-fold grouped CV, SUBJECT-DISJOINT; stats aggregated per subject first",U-Net base=16 (320x160),random (from scratch),"cropped to live ultrasound sector 810x430, resized; masks max-pooled so a 1-2 px contour survives",LR flip p=0.5; gain/brightness jitter p=0.5; noise p=0.3,1337,12,32,AdamW + cosine annealing; Dice + pos-weighted BCE,0.0003,NVIDIA GeForce RTX 2060,15.1 s/epoch,COMPLETE,"subject-mean Dice (per-subject means, then averaged)",0.4964,subject-mean tolerance-F1(2px) 0.6885; subject-mean IoU 0.3460; subject range 0.4835-0.5164; frame-mean Dice 0.5007; empty-label false-positive rate 0.9636363636363636,"SD across 3 test subjects 0.0143 (n is too small for a meaningful CI; per-subject values: URS26=0.489, URS36=0.484, URS51=0.516)",experiments/exp005_lumbar_bone_seg/per_frame_fold1_HUS_RUS.npz,experiments/exp005_lumbar_bone_seg/stdout.log,"Expert-annotated VISIBLE BONE SURFACE, not a puncture target. Dice is harsh on a 1-2 px contour, so tolerance-F1 is reported alongside. Frames the expert left empty are excluded from Dice (undefined) and scored separately."
exp005_fold1_trainRUS_testHUS,PRIMARY -- real human transcutaneous lumbar ultrasound,2026-09-11,"Expert bone-surface segmentation in real human lumbar ultrasound; train on RUS, evaluate on held-out HUS subjects","KU Leuven / Balgrist lumbar spine ultrasound (doi:10.48804/3XPCAE, CC-BY-4.0)","HUMAN, in-vivo, transcutaneous lumbar; healthy volunteers aged 20-35 BMI 19-26, PRONE, 10 MHz LINEAR probe","US/US_labels, 18 archives, MD5-verified",9,URS08|URS16|URS31|URS40|URS45|URS54,URS26|URS36|URS51,2434,653,"3-fold grouped CV, SUBJECT-DISJOINT; stats aggregated per subject first",U-Net base=16 (320x160),random (from scratch),"cropped to live ultrasound sector 810x430, resized; masks max-pooled so a 1-2 px contour survives",LR flip p=0.5; gain/brightness jitter p=0.5; noise p=0.3,1337,12,32,AdamW + cosine annealing; Dice + pos-weighted BCE,0.0003,NVIDIA GeForce RTX 2060,18.8 s/epoch,COMPLETE,"subject-mean Dice (per-subject means, then averaged)",0.5444,subject-mean tolerance-F1(2px) 0.7333; subject-mean IoU 0.3931; subject range 0.5395-0.5492; frame-mean Dice 0.5448; empty-label false-positive rate 0.5714285714285714,"SD across 2 test subjects 0.0048 (n is too small for a meaningful CI; per-subject values: URS26=0.540, URS36=0.549)",experiments/exp005_lumbar_bone_seg/per_frame_fold1_RUS_HUS.npz,experiments/exp005_lumbar_bone_seg/stdout.log,"Expert-annotated VISIBLE BONE SURFACE, not a puncture target. Dice is harsh on a 1-2 px contour, so tolerance-F1 is reported alongside. Frames the expert left empty are excluded from Dice (undefined) and scored separately."
exp005_fold1_trainRUS_testRUS,PRIMARY -- real human transcutaneous lumbar ultrasound,2026-09-11,"Expert bone-surface segmentation in real human lumbar ultrasound; train on RUS, evaluate on held-out RUS subjects","KU Leuven / Balgrist lumbar spine ultrasound (doi:10.48804/3XPCAE, CC-BY-4.0)","HUMAN, in-vivo, transcutaneous lumbar; healthy volunteers aged 20-35 BMI 19-26, PRONE, 10 MHz LINEAR probe","US/US_labels, 18 archives, MD5-verified",9,URS08|URS16|URS31|URS40|URS45|URS54,URS26|URS36|URS51,2434,1311,"3-fold grouped CV, SUBJECT-DISJOINT; stats aggregated per subject first",U-Net base=16 (320x160),random (from scratch),"cropped to live ultrasound sector 810x430, resized; masks max-pooled so a 1-2 px contour survives",LR flip p=0.5; gain/brightness jitter p=0.5; noise p=0.3,1337,12,32,AdamW + cosine annealing; Dice + pos-weighted BCE,0.0003,NVIDIA GeForce RTX 2060,18.8 s/epoch,COMPLETE,"subject-mean Dice (per-subject means, then averaged)",0.5631,subject-mean tolerance-F1(2px) 0.7661; subject-mean IoU 0.4051; subject range 0.5280-0.5889; frame-mean Dice 0.5689; empty-label false-positive rate 0.7818181818181819,"SD across 3 test subjects 0.0257 (n is too small for a meaningful CI; per-subject values: URS26=0.573, URS36=0.528, URS51=0.589)",experiments/exp005_lumbar_bone_seg/per_frame_fold1_RUS_RUS.npz,experiments/exp005_lumbar_bone_seg/stdout.log,"Expert-annotated VISIBLE BONE SURFACE, not a puncture target. Dice is harsh on a 1-2 px contour, so tolerance-F1 is reported alongside. Frames the expert left empty are excluded from Dice (undefined) and scored separately."
exp005_fold1_trainBOTH_testHUS,PRIMARY -- real human transcutaneous lumbar ultrasound,2026-09-11,"Expert bone-surface segmentation in real human lumbar ultrasound; train on BOTH, evaluate on held-out HUS subjects","KU Leuven / Balgrist lumbar spine ultrasound (doi:10.48804/3XPCAE, CC-BY-4.0)","HUMAN, in-vivo, transcutaneous lumbar; healthy volunteers aged 20-35 BMI 19-26, PRONE, 10 MHz LINEAR probe","US/US_labels, 18 archives, MD5-verified",9,URS08|URS16|URS31|URS40|URS45|URS54,URS26|URS36|URS51,4142,653,"3-fold grouped CV, SUBJECT-DISJOINT; stats aggregated per subject first",U-Net base=16 (320x160),random (from scratch),"cropped to live ultrasound sector 810x430, resized; masks max-pooled so a 1-2 px contour survives",LR flip p=0.5; gain/brightness jitter p=0.5; noise p=0.3,1337,12,32,AdamW + cosine annealing; Dice + pos-weighted BCE,0.0003,NVIDIA GeForce RTX 2060,25.1 s/epoch,COMPLETE,"subject-mean Dice (per-subject means, then averaged)",0.5652,subject-mean tolerance-F1(2px) 0.7524; subject-mean IoU 0.4134; subject range 0.5533-0.5771; frame-mean Dice 0.5662; empty-label false-positive rate 0.8095238095238095,"SD across 2 test subjects 0.0119 (n is too small for a meaningful CI; per-subject values: URS26=0.553, URS36=0.577)",experiments/exp005_lumbar_bone_seg/per_frame_fold1_BOTH_HUS.npz,experiments/exp005_lumbar_bone_seg/stdout.log,"Expert-annotated VISIBLE BONE SURFACE, not a puncture target. Dice is harsh on a 1-2 px contour, so tolerance-F1 is reported alongside. Frames the expert left empty are excluded from Dice (undefined) and scored separately."
exp005_fold1_trainBOTH_testRUS,PRIMARY -- real human transcutaneous lumbar ultrasound,2026-09-11,"Expert bone-surface segmentation in real human lumbar ultrasound; train on BOTH, evaluate on held-out RUS subjects","KU Leuven / Balgrist lumbar spine ultrasound (doi:10.48804/3XPCAE, CC-BY-4.0)","HUMAN, in-vivo, transcutaneous lumbar; healthy volunteers aged 20-35 BMI 19-26, PRONE, 10 MHz LINEAR probe","US/US_labels, 18 archives, MD5-verified",9,URS08|URS16|URS31|URS40|URS45|URS54,URS26|URS36|URS51,4142,1311,"3-fold grouped CV, SUBJECT-DISJOINT; stats aggregated per subject first",U-Net base=16 (320x160),random (from scratch),"cropped to live ultrasound sector 810x430, resized; masks max-pooled so a 1-2 px contour survives",LR flip p=0.5; gain/brightness jitter p=0.5; noise p=0.3,1337,12,32,AdamW + cosine annealing; Dice + pos-weighted BCE,0.0003,NVIDIA GeForce RTX 2060,25.1 s/epoch,COMPLETE,"subject-mean Dice (per-subject means, then averaged)",0.5652,subject-mean tolerance-F1(2px) 0.7590; subject-mean IoU 0.4089; subject range 0.5325-0.5973; frame-mean Dice 0.5723; empty-label false-positive rate 0.7636363636363637,"SD across 3 test subjects 0.0264 (n is too small for a meaningful CI; per-subject values: URS26=0.566, URS36=0.532, URS51=0.597)",experiments/exp005_lumbar_bone_seg/per_frame_fold1_BOTH_RUS.npz,experiments/exp005_lumbar_bone_seg/stdout.log,"Expert-annotated VISIBLE BONE SURFACE, not a puncture target. Dice is harsh on a 1-2 px contour, so tolerance-F1 is reported alongside. Frames the expert left empty are excluded from Dice (undefined) and scored separately."
exp005_fold2_trainHUS_testHUS,PRIMARY -- real human transcutaneous lumbar ultrasound,2026-09-11,"Expert bone-surface segmentation in real human lumbar ultrasound; train on HUS, evaluate on held-out HUS subjects","KU Leuven / Balgrist lumbar spine ultrasound (doi:10.48804/3XPCAE, CC-BY-4.0)","HUMAN, in-vivo, transcutaneous lumbar; healthy volunteers aged 20-35 BMI 19-26, PRONE, 10 MHz LINEAR probe","US/US_labels, 18 archives, MD5-verified",9,URS08|URS16|URS26|URS31|URS36|URS51,URS40|URS45|URS54,1306,1076,"3-fold grouped CV, SUBJECT-DISJOINT; stats aggregated per subject first",U-Net base=16 (320x160),random (from scratch),"cropped to live ultrasound sector 810x430, resized; masks max-pooled so a 1-2 px contour survives",LR flip p=0.5; gain/brightness jitter p=0.5; noise p=0.3,1337,12,32,AdamW + cosine annealing; Dice + pos-weighted BCE,0.0003,NVIDIA GeForce RTX 2060,14.5 s/epoch,COMPLETE,"subject-mean Dice (per-subject means, then averaged)",0.4053,subject-mean tolerance-F1(2px) 0.5934; subject-mean IoU 0.2746; subject range 0.3590-0.4418; frame-mean Dice 0.4060; empty-label false-positive rate None,"SD across 3 test subjects 0.0345 (n is too small for a meaningful CI; per-subject values: URS40=0.359, URS45=0.442, URS54=0.415)",experiments/exp005_lumbar_bone_seg/per_frame_fold2_HUS_HUS.npz,experiments/exp005_lumbar_bone_seg/stdout.log,"Expert-annotated VISIBLE BONE SURFACE, not a puncture target. Dice is harsh on a 1-2 px contour, so tolerance-F1 is reported alongside. Frames the expert left empty are excluded from Dice (undefined) and scored separately."
exp005_fold2_trainHUS_testRUS,PRIMARY -- real human transcutaneous lumbar ultrasound,2026-09-11,"Expert bone-surface segmentation in real human lumbar ultrasound; train on HUS, evaluate on held-out RUS subjects","KU Leuven / Balgrist lumbar spine ultrasound (doi:10.48804/3XPCAE, CC-BY-4.0)","HUMAN, in-vivo, transcutaneous lumbar; healthy volunteers aged 20-35 BMI 19-26, PRONE, 10 MHz LINEAR probe","US/US_labels, 18 archives, MD5-verified",9,URS08|URS16|URS26|URS31|URS36|URS51,URS40|URS45|URS54,1306,1087,"3-fold grouped CV, SUBJECT-DISJOINT; stats aggregated per subject first",U-Net base=16 (320x160),random (from scratch),"cropped to live ultrasound sector 810x430, resized; masks max-pooled so a 1-2 px contour survives",LR flip p=0.5; gain/brightness jitter p=0.5; noise p=0.3,1337,12,32,AdamW + cosine annealing; Dice + pos-weighted BCE,0.0003,NVIDIA GeForce RTX 2060,14.5 s/epoch,COMPLETE,"subject-mean Dice (per-subject means, then averaged)",0.406,subject-mean tolerance-F1(2px) 0.5896; subject-mean IoU 0.2714; subject range 0.3010-0.4861; frame-mean Dice 0.4031; empty-label false-positive rate None,"SD across 3 test subjects 0.0776 (n is too small for a meaningful CI; per-subject values: URS40=0.486, URS45=0.431, URS54=0.301)",experiments/exp005_lumbar_bone_seg/per_frame_fold2_HUS_RUS.npz,experiments/exp005_lumbar_bone_seg/stdout.log,"Expert-annotated VISIBLE BONE SURFACE, not a puncture target. Dice is harsh on a 1-2 px contour, so tolerance-F1 is reported alongside. Frames the expert left empty are excluded from Dice (undefined) and scored separately."
exp005_fold2_trainRUS_testHUS,PRIMARY -- real human transcutaneous lumbar ultrasound,2026-09-11,"Expert bone-surface segmentation in real human lumbar ultrasound; train on RUS, evaluate on held-out HUS subjects","KU Leuven / Balgrist lumbar spine ultrasound (doi:10.48804/3XPCAE, CC-BY-4.0)","HUMAN, in-vivo, transcutaneous lumbar; healthy volunteers aged 20-35 BMI 19-26, PRONE, 10 MHz LINEAR probe","US/US_labels, 18 archives, MD5-verified",9,URS08|URS16|URS26|URS31|URS36|URS51,URS40|URS45|URS54,2713,1076,"3-fold grouped CV, SUBJECT-DISJOINT; stats aggregated per subject first",U-Net base=16 (320x160),random (from scratch),"cropped to live ultrasound sector 810x430, resized; masks max-pooled so a 1-2 px contour survives",LR flip p=0.5; gain/brightness jitter p=0.5; noise p=0.3,1337,12,32,AdamW + cosine annealing; Dice + pos-weighted BCE,0.0003,NVIDIA GeForce RTX 2060,20.0 s/epoch,COMPLETE,"subject-mean Dice (per-subject means, then averaged)",0.5308,subject-mean tolerance-F1(2px) 0.7371; subject-mean IoU 0.3783; subject range 0.5216-0.5424; frame-mean Dice 0.5311; empty-label false-positive rate None,"SD across 3 test subjects 0.0086 (n is too small for a meaningful CI; per-subject values: URS40=0.522, URS45=0.542, URS54=0.528)",experiments/exp005_lumbar_bone_seg/per_frame_fold2_RUS_HUS.npz,experiments/exp005_lumbar_bone_seg/stdout.log,"Expert-annotated VISIBLE BONE SURFACE, not a puncture target. Dice is harsh on a 1-2 px contour, so tolerance-F1 is reported alongside. Frames the expert left empty are excluded from Dice (undefined) and scored separately."
exp005_fold2_trainRUS_testRUS,PRIMARY -- real human transcutaneous lumbar ultrasound,2026-09-11,"Expert bone-surface segmentation in real human lumbar ultrasound; train on RUS, evaluate on held-out RUS subjects","KU Leuven / Balgrist lumbar spine ultrasound (doi:10.48804/3XPCAE, CC-BY-4.0)","HUMAN, in-vivo, transcutaneous lumbar; healthy volunteers aged 20-35 BMI 19-26, PRONE, 10 MHz LINEAR probe","US/US_labels, 18 archives, MD5-verified",9,URS08|URS16|URS26|URS31|URS36|URS51,URS40|URS45|URS54,2713,1087,"3-fold grouped CV, SUBJECT-DISJOINT; stats aggregated per subject first",U-Net base=16 (320x160),random (from scratch),"cropped to live ultrasound sector 810x430, resized; masks max-pooled so a 1-2 px contour survives",LR flip p=0.5; gain/brightness jitter p=0.5; noise p=0.3,1337,12,32,AdamW + cosine annealing; Dice + pos-weighted BCE,0.0003,NVIDIA GeForce RTX 2060,20.0 s/epoch,COMPLETE,"subject-mean Dice (per-subject means, then averaged)",0.5194,subject-mean tolerance-F1(2px) 0.7190; subject-mean IoU 0.3704; subject range 0.4986-0.5383; frame-mean Dice 0.5181; empty-label false-positive rate None,"SD across 3 test subjects 0.0163 (n is too small for a meaningful CI; per-subject values: URS40=0.538, URS45=0.499, URS54=0.521)",experiments/exp005_lumbar_bone_seg/per_frame_fold2_RUS_RUS.npz,experiments/exp005_lumbar_bone_seg/stdout.log,"Expert-annotated VISIBLE BONE SURFACE, not a puncture target. Dice is harsh on a 1-2 px contour, so tolerance-F1 is reported alongside. Frames the expert left empty are excluded from Dice (undefined) and scored separately."
exp005_fold2_trainBOTH_testHUS,PRIMARY -- real human transcutaneous lumbar ultrasound,2026-09-11,"Expert bone-surface segmentation in real human lumbar ultrasound; train on BOTH, evaluate on held-out HUS subjects","KU Leuven / Balgrist lumbar spine ultrasound (doi:10.48804/3XPCAE, CC-BY-4.0)","HUMAN, in-vivo, transcutaneous lumbar; healthy volunteers aged 20-35 BMI 19-26, PRONE, 10 MHz LINEAR probe","US/US_labels, 18 archives, MD5-verified",9,URS08|URS16|URS26|URS31|URS36|URS51,URS40|URS45|URS54,4019,1076,"3-fold grouped CV, SUBJECT-DISJOINT; stats aggregated per subject first",U-Net base=16 (320x160),random (from scratch),"cropped to live ultrasound sector 810x430, resized; masks max-pooled so a 1-2 px contour survives",LR flip p=0.5; gain/brightness jitter p=0.5; noise p=0.3,1337,12,32,AdamW + cosine annealing; Dice + pos-weighted BCE,0.0003,NVIDIA GeForce RTX 2060,24.2 s/epoch,COMPLETE,"subject-mean Dice (per-subject means, then averaged)",0.5412,subject-mean tolerance-F1(2px) 0.7364; subject-mean IoU 0.3898; subject range 0.5216-0.5556; frame-mean Dice 0.5419; empty-label false-positive rate None,"SD across 3 test subjects 0.0144 (n is too small for a meaningful CI; per-subject values: URS40=0.547, URS45=0.556, URS54=0.522)",experiments/exp005_lumbar_bone_seg/per_frame_fold2_BOTH_HUS.npz,experiments/exp005_lumbar_bone_seg/stdout.log,"Expert-annotated VISIBLE BONE SURFACE, not a puncture target. Dice is harsh on a 1-2 px contour, so tolerance-F1 is reported alongside. Frames the expert left empty are excluded from Dice (undefined) and scored separately."
exp005_fold2_trainBOTH_testRUS,PRIMARY -- real human transcutaneous lumbar ultrasound,2026-09-11,"Expert bone-surface segmentation in real human lumbar ultrasound; train on BOTH, evaluate on held-out RUS subjects","KU Leuven / Balgrist lumbar spine ultrasound (doi:10.48804/3XPCAE, CC-BY-4.0)","HUMAN, in-vivo, transcutaneous lumbar; healthy volunteers aged 20-35 BMI 19-26, PRONE, 10 MHz LINEAR probe","US/US_labels, 18 archives, MD5-verified",9,URS08|URS16|URS26|URS31|URS36|URS51,URS40|URS45|URS54,4019,1087,"3-fold grouped CV, SUBJECT-DISJOINT; stats aggregated per subject first",U-Net base=16 (320x160),random (from scratch),"cropped to live ultrasound sector 810x430, resized; masks max-pooled so a 1-2 px contour survives",LR flip p=0.5; gain/brightness jitter p=0.5; noise p=0.3,1337,12,32,AdamW + cosine annealing; Dice + pos-weighted BCE,0.0003,NVIDIA GeForce RTX 2060,24.2 s/epoch,COMPLETE,"subject-mean Dice (per-subject means, then averaged)",0.5395,subject-mean tolerance-F1(2px) 0.7359; subject-mean IoU 0.3886; subject range 0.5178-0.5515; frame-mean Dice 0.5386; empty-label false-positive rate None,"SD across 3 test subjects 0.0153 (n is too small for a meaningful CI; per-subject values: URS40=0.549, URS45=0.518, URS54=0.552)",experiments/exp005_lumbar_bone_seg/per_frame_fold2_BOTH_RUS.npz,experiments/exp005_lumbar_bone_seg/stdout.log,"Expert-annotated VISIBLE BONE SURFACE, not a puncture target. Dice is harsh on a 1-2 px contour, so tolerance-F1 is reported alongside. Frames the expert left empty are excluded from Dice (undefined) and scored separately."
exp006_lumbar_uncertainty,PRIMARY -- real human transcutaneous lumbar ultrasound,2026-09-11,"Does MC-dropout uncertainty track real error on REAL HUMAN LUMBAR ultrasound, and can abstention improve what remains? (exp004 asked this on porcine data)","KU Leuven / Balgrist (doi:10.48804/3XPCAE, CC-BY-4.0)","HUMAN, in-vivo, transcutaneous lumbar","US/US_labels, MD5-verified",9,(uses exp005 checkpoints),"all 9, each held out in its own fold",n/a (inference),5998,subject-held-out via the exp005 folds,"exp005 U-Net, regime BOTH, bottleneck dropout re-enabled (BatchNorm in eval)",exp005 checkpoints,as exp005,none,stochastic by design,n/a,16,n/a,n/a,NVIDIA GeForce RTX 2060,10 MC passes over every held-out frame,COMPLETE,Spearman rho between MC-dropout uncertainty and per-frame Dice,entropy -0.2276; pass-SD -0.2797,"mean Dice 0.5743; abstaining on the most-uncertain 30% gives 0.5880 on retained vs 0.5422 on declined; HUS: rho -0.219, Dice 0.571; RUS: rho -0.243, Dice 0.576",per-subject rho reported in metrics.json; 9 subjects,experiments/exp006_lumbar_uncertainty/per_frame.npz,experiments/exp006_lumbar_uncertainty/metrics.json,Validates the uncertainty MECHANISM on real human lumbar data. Not a safety claim; the model is not calibrated for clinical use and this says nothing about puncture targeting. Supersedes exp004 for any human-lumbar statement.
